DATE,PRIME
9/21/2004,4.75
11/10/2004,5
12/15/2004,5.25
2/2/2005,5.5
3/22/2005,5.75
5/3/2005,6
6/30/2005,6.25
8/9/2005,6.5
9/20/2005,6.75
11/1/2005,7
12/13/2005,7.25
1/31/2006,7.5
3/28/2006,7.75
5/10/2006,8
6/29/2006,8.25
9/18/2007,7.75
10/31/2007,7.5
12/11/2007,7.25
1/22/2008,6.5
1/30/2008,6
3/18/2008,5.25
4/30/2008,5
10/8/2008,4.5
10/29/2008,4
12/16/2008,3.25
12/17/2015,3.5
12/15/2016,3.75
3/16/2017,4
6/15/2017,4.25
12/14/2017,4.5
3/22/2018,4.75
6/14/2018,5
9/27/2018,5.25
12/20/2018,5.5
8/1/2019,5.25
9/19/2019,5
10/31/2019,4.75
3/4/2020,4.25
3/16/2020,3.25
3/17/2022,3.5
5/5/2022,4
6/16/2022,4.75
7/28/2022,5.5
9/22/2022,6.25
11/3/2022,7
12/15/2022,7.5
2/2/2023,7.75
